Contig,HK_CF2,HK_CF35,HK_CF70,V_CF26,V_CF34,V_CF71
Phel_clc_contig_10959,5.488537503,5.936124366,4.455984709,3.661304959,3.015319148,2.791543215
Phel_clc_contig_22898,5.906065619,6.152605293,4.189895704,2.77106155,1.273277161,1.57269568
Phel_clc_contig_439,12.71321983,12.94409086,12.0316366,11.30630235,11.56477017,11.55849232
Phel_clc_contig_24134,4.368433124,4.582676423,3.440646623,1.96827511,1.938925593,1.57269568
Phel_clc_contig_9206,8.23708995,8.517708358,7.594134223,6.803422087,6.706625863,6.668209914
Phel_clc_contig_11948,6.614206285,6.618290054,5.968330413,4.418945512,4.803459544,4.626129537
Phel_clc_contig_2278,10.85782389,10.96764712,10.22874511,8.523725426,9.240020178,8.29900053
Phel_clc_contig_1739,10.66346987,10.82595198,10.13383834,7.870625491,7.87540165,6.723170806
Phel_clc_contig_7353,6.138497084,6.483174079,5.850039278,4.603133742,5.007904114,4.626129537
Phel_clc_contig_9504,7.938873267,8.226441095,7.438868351,6.367454941,6.957521146,6.321608863
Phel_clc_contig_12233,5.285405918,5.52105702,4.874836303,3.661304959,3.015319148,3.153513526
Phel_clc_contig_19007,5.721339846,6.134680951,5.098857447,3.283788458,0,1.57269568
Phel_clc_contig_15233,6.803800487,7.383738848,6.526435074,3.960242941,2.737319011,3.442651611
Phel_clc_contig_5495,7.415235574,7.868865141,7.144370695,6.644476415,5.700853047,5.814745231
Phel_clc_contig_25377,3.883493744,4.489048337,3.266861484,1.96827511,1.273277161,0
Phel_clc_contig_8012,7.194251576,7.635716669,6.806050755,6.2618843,6.017224882,5.596619146
Phel_clc_contig_9976,6.326898624,6.894173862,6.024027068,5.046285869,4.476135384,4.50589728
Phel_clc_contig_12383,5.628858148,6.325080544,4.874836303,1.96827511,2.392647144,0
Phel_clc_contig_5999,4.321928095,5.038734664,3.735749611,0,0,0
Phel_clc_contig_3853,8.525727117,9.081614187,7.936504263,5.816282258,6.328344618,6.424686993
Phel_clc_contig_27302,3.601458821,4.431489247,3.266861484,0,0,1.57269568
Phel_clc_contig_6367,7.775926273,8.407406715,7.418230435,4.913143132,4.476135384,5.536512997
Phel_clc_contig_6205,8.013927822,8.436958424,7.734302492,6.685884099,7.113293142,7.100604525
Phel_clc_contig_11679,5.333080194,8.008270617,6.179274165,4.913143132,4.279627294,4.374733478
Phel_clc_contig_23311,1.856268645,4.641881232,3.069238148,0,0,0
Phel_clc_contig_24621,3.036837374,6.243809962,4.748268002,1.96827511,1.938925593,2.307166193
Phel_clc_contig_13317,4.457174003,5.756919202,4.089048934,1.96827511,1.273277161,2.791543215
Phel_clc_contig_11764,6.151850701,7.409521621,5.996447502,3.283788458,4.381221067,4.374733478
Phel_clc_contig_19540,5.685054306,7.06342744,5.463599571,3.283788458,3.624884628,3.683393288
Phel_clc_contig_25692,4.119306371,5.113842162,3.735749611,1.96827511,1.938925593,2.307166193
Phel_clc_contig_15504,3.436641592,4.705707025,2.56774013,0,0,0
Phel_clc_contig_6250,8.992697914,10.08512333,8.739254394,7.940721165,7.629169349,7.58895519
Phel_clc_contig_13540,3.147648606,4.262575977,3.069238148,0,0,0
