Feature	HK_CF2	HK_CF35	HK_CF70	V_CF71	V_CF34	V_CF26
seastar_clc_contig_10109	116	302	23	18	10	81
seastar_clc_contig_1011	223	888	129	37	62	63
seastar_clc_contig_10110	5	50	1	3	11	0
seastar_clc_contig_10111	173	812	103	21	22	22
seastar_clc_contig_10112	29	268	20	0	7	2
seastar_clc_contig_10113	63	628	16	7	5	16
seastar_clc_contig_10114	0	44	0	4	0	3
seastar_clc_contig_10115	11	136	7	4	8	8
seastar_clc_contig_10116	66	337	14	6	20	7
seastar_clc_contig_10117	0	9	0	5	0	9
seastar_clc_contig_10118	92	119	40	9	19	18
seastar_clc_contig_10119	330	2096	73	28	48	107
seastar_clc_contig_1012	3718	12043	2866	1665	5902	1926
seastar_clc_contig_10120	1	74	2	7	3	3
seastar_clc_contig_10121	57	488	35	36	47	21
seastar_clc_contig_10122	2	63	3	13	18	3
seastar_clc_contig_10123	51	211	37	2	1	5
seastar_clc_contig_10124	64	312	66	3	27	18
seastar_clc_contig_10125	17	418	18	15	37	26
seastar_clc_contig_10126	0	16	3	6	3	0
seastar_clc_contig_10127	452	3416	186	99	225	196
seastar_clc_contig_10128	5	88	5	5	4	4
seastar_clc_contig_10129	34	82	8	4	14	10
seastar_clc_contig_1013	447	4567	232	206	252	123
seastar_clc_contig_10130	250	1501	90	101	179	62
seastar_clc_contig_10131	571	2809	283	48	16	76
seastar_clc_contig_10132	13	67	4	7	26	4
seastar_clc_contig_10133	23	118	10	18	0	16
seastar_clc_contig_10134	25	189	7	6	8	6
seastar_clc_contig_10135	50	152	16	4	10	12
seastar_clc_contig_10136	25	214	27	31	47	31
seastar_clc_contig_10137	58	237	51	50	43	23
seastar_clc_contig_10138	2601	12172	1602	114	372	509
seastar_clc_contig_10139	24	231	4	7	22	28
seastar_clc_contig_1014	25	69	23	95	90	12
seastar_clc_contig_10140	30	265	9	13	6	13
seastar_clc_contig_10141	0	19	2	2	15	5
seastar_clc_contig_10142	34	109	7	2	0	14
seastar_clc_contig_10143	110	611	60	23	62	58
seastar_clc_contig_10144	74	429	57	18	56	35
seastar_clc_contig_10145	10	31	7	3	2	1
seastar_clc_contig_10146	33	104	20	5	6	6
seastar_clc_contig_10147	559	1376	234	37	74	68
seastar_clc_contig_10148	162	993	76	18	61	39
seastar_clc_contig_10149	139	1075	24	35	90	36
seastar_clc_contig_1015	2099	25430	3870	2443	2017	1234
seastar_clc_contig_10150	6	61	4	20	9	1
seastar_clc_contig_10151	15	297	17	11	10	11
seastar_clc_contig_10152	42	108	11	3	2	5
seastar_clc_contig_10153	0	14	0	2	0	0
seastar_clc_contig_10154	597	37	3	0	0	0
seastar_clc_contig_10155	45	660	54	62	117	99
seastar_clc_contig_10156	782	2999	199	26	90	62
seastar_clc_contig_10157	1559	5030	493	40	154	70
seastar_clc_contig_10158	2	19	21	25	4	3
seastar_clc_contig_10159	663	4057	485	40	99	99
seastar_clc_contig_1016	1693	8663	1257	231	1314	1947
seastar_clc_contig_10160	366	1645	211	34	36	61
seastar_clc_contig_10161	162	931	22	2	3	13
seastar_clc_contig_10162	26	97	17	5	11	20
seastar_clc_contig_10163	4	48	8	2	0	4
seastar_clc_contig_10164	128	665	61	29	55	59
seastar_clc_contig_10165	53	539	100	356	523	313
seastar_clc_contig_10166	18	199	17	25	14	19
seastar_clc_contig_10167	11	144	19	7	25	13
seastar_clc_contig_10168	41	72	18	11	14	10
seastar_clc_contig_10169	1	27	3	4	0	1
seastar_clc_contig_1017	1377	6753	2153	926	1089	1015
seastar_clc_contig_10170	33	259	10	6	8	7
seastar_clc_contig_10171	69	96	30	5	21	16
seastar_clc_contig_10172	106	827	69	1	11	11
seastar_clc_contig_10173	112	724	49	18	47	48
seastar_clc_contig_10174	98	348	55	8	12	21
seastar_clc_contig_10175	521	2537	155	20	146	48
seastar_clc_contig_10176	0	10	0	3	0	1
seastar_clc_contig_10177	137	533	96	7	25	28
seastar_clc_contig_10178	1676	4919	1587	78	132	80
seastar_clc_contig_10179	132	481	61	40	62	54
seastar_clc_contig_1018	242	4405	374	20	241	184
seastar_clc_contig_10180	107	623	68	36	47	61
seastar_clc_contig_10181	227	51	8	17	5	9
seastar_clc_contig_10182	0	19	0	29	13	0
seastar_clc_contig_10183	19	296	25	14	38	10
seastar_clc_contig_10184	26	108	1	2	3	5
seastar_clc_contig_10185	1065	879	283	59	242	147
seastar_clc_contig_10186	572	2467	581	162	335	173
seastar_clc_contig_10187	11	497	25	2	17	14
seastar_clc_contig_10188	31	522	19	89	91	23
seastar_clc_contig_10189	9	3	10	15	29	12
seastar_clc_contig_1019	1334	5768	646	1412	1667	792
seastar_clc_contig_10190	136	694	101	31	56	36
seastar_clc_contig_10191	497	2208	321	29	140	155
seastar_clc_contig_10192	164	737	110	20	82	37
seastar_clc_contig_10193	299	1870	108	44	68	27
seastar_clc_contig_10194	161	843	36	21	29	120
seastar_clc_contig_10195	24	132	7	3	4	8
seastar_clc_contig_10196	7	68	4	2	1	1
seastar_clc_contig_10197	4	27	5	1	0	0
seastar_clc_contig_10198	54	211	50	56	110	66
seastar_clc_contig_10199	54	150	30	8	14	31
seastar_clc_contig_102	1864	14107	1045	746	1140	991
seastar_clc_contig_1020	0	72	1	3	15	2
seastar_clc_contig_10200	13	131	9	4	5	5
seastar_clc_contig_10201	33	113	6	29	28	13
seastar_clc_contig_10202	294	1706	218	48	166	103
seastar_clc_contig_10203	30	107	0	14	23	6
seastar_clc_contig_10204	67	208	66	34	23	16
seastar_clc_contig_10205	744	1253	287	42	367	140
seastar_clc_contig_10206	138	669	96	33	35	70
seastar_clc_contig_10207	75	264	56	8	31	18
seastar_clc_contig_10208	2	8	4	16	63	9
seastar_clc_contig_10209	50	263	26	12	60	14
seastar_clc_contig_1021	156	1896	98	716	844	362
seastar_clc_contig_10210	14	122	6	6	0	7
seastar_clc_contig_10211	177	683	82	12	38	22
seastar_clc_contig_10212	62	284	23	14	48	29
seastar_clc_contig_10213	66	403	37	8	11	4
seastar_clc_contig_10214	751	2460	387	45	78	53
seastar_clc_contig_10215	3	84	0	8	3	5
seastar_clc_contig_10216	528	2003	248	78	170	118
seastar_clc_contig_10217	60	304	22	19	48	29
seastar_clc_contig_10218	6	39	0	5	6	4
seastar_clc_contig_10219	8	67	2	10	4	15
seastar_clc_contig_1022	12480	46743	7514	4349	7465	4381
seastar_clc_contig_10220	2	29	9	3	0	6
seastar_clc_contig_10221	83	234	18	2	15	9
seastar_clc_contig_10222	399	1383	202	51	97	58
seastar_clc_contig_10223	131	406	20	5	31	32
seastar_clc_contig_10224	1	34	3	18	11	14
seastar_clc_contig_10225	263	197	77	24	65	35
seastar_clc_contig_10226	340	1038	137	43	140	85
seastar_clc_contig_10227	19	209	8	8	7	7
seastar_clc_contig_10228	6	110	4	4	2	4
seastar_clc_contig_10229	250	1865	106	53	86	74
seastar_clc_contig_1023	333	2057	198	32	68	71
seastar_clc_contig_10230	44	674	15	13	18	18
seastar_clc_contig_10231	554	1206	148	29	10	146
seastar_clc_contig_10232	154	694	75	19	13	21
seastar_clc_contig_10233	22	99	8	7	4	11
seastar_clc_contig_10234	11	137	16	7	14	4
seastar_clc_contig_10235	480	2143	435	40	58	56
seastar_clc_contig_10236	0	11	2	5	5	3
seastar_clc_contig_10237	117	1039	26	16	26	18
seastar_clc_contig_10238	34	138	24	7	1	10
seastar_clc_contig_10239	77	38	14	4	13	5
seastar_clc_contig_1024	186	4217	223	67	92	52
seastar_clc_contig_10240	44	237	13	1	7	10
seastar_clc_contig_10241	73	389	49	18	25	30
seastar_clc_contig_10242	4	19	2	3	10	4
seastar_clc_contig_10243	182	776	73	16	51	29
seastar_clc_contig_10244	7	44	15	45	56	15
seastar_clc_contig_10245	71	36	8	7	7	52
seastar_clc_contig_10246	112	562	55	16	48	27
seastar_clc_contig_10247	47	475	27	24	116	78
seastar_clc_contig_10248	76	881	85	22	12	36
seastar_clc_contig_10249	111	1187	35	44	67	45
seastar_clc_contig_1025	85	1208	34	175	94	80
seastar_clc_contig_10250	27	120	11	2	4	3
seastar_clc_contig_10251	4	34	3	2	5	4
seastar_clc_contig_10252	180	906	135	41	100	180
seastar_clc_contig_10253	5	4	6	2	4	1
seastar_clc_contig_10254	18	428	6	2	21	5
seastar_clc_contig_10255	34	230	28	3	4	12
seastar_clc_contig_10256	42	852	12	4	6	3
seastar_clc_contig_10257	64	436	42	25	31	27
seastar_clc_contig_10258	103	1090	39	17	18	13
seastar_clc_contig_10259	120	473	71	29	38	49
seastar_clc_contig_1026	80	979	22	67	66	27
seastar_clc_contig_10260	7	23	0	2	0	0
seastar_clc_contig_10261	20	200	8	83	19	42
seastar_clc_contig_10262	41	339	12	59	78	39
seastar_clc_contig_10263	112	979	89	96	219	85
seastar_clc_contig_10264	5	13	0	9	0	2
seastar_clc_contig_10265	102	661	89	21	13	12
seastar_clc_contig_10266	12	890	22	0	9	0
seastar_clc_contig_10267	59	106	47	33	278	112
seastar_clc_contig_10268	18	18	3	2	2	0
seastar_clc_contig_10269	20	456	18	29	72	15
seastar_clc_contig_1027	3114	11937	1980	2643	3977	2423
seastar_clc_contig_10270	26	19	3	1	0	13
seastar_clc_contig_10271	503	81	58	90	40	41
seastar_clc_contig_10272	195	931	60	10	12	111
seastar_clc_contig_10273	352	1769	133	32	153	145
seastar_clc_contig_10274	106	580	1	53	85	2
seastar_clc_contig_10275	189	965	92	9	17	66
seastar_clc_contig_10276	31	16	2	1	5	1
seastar_clc_contig_10277	5	67	14	2	3	4
seastar_clc_contig_10278	153	655	88	12	36	16
seastar_clc_contig_10279	22	40	28	69	50	26
seastar_clc_contig_1028	160	707	192	23	143	107
seastar_clc_contig_10280	189	484	84	19	54	42
seastar_clc_contig_10281	134	1141	156	67	131	157
seastar_clc_contig_10282	54	678	45	22	37	29
seastar_clc_contig_10283	29	304	11	9	6	7
seastar_clc_contig_10284	0	135	11	12	15	2
seastar_clc_contig_10285	489	3529	201	151	183	227
seastar_clc_contig_10286	0	38	0	6	0	1
seastar_clc_contig_10287	32	678	18	13	24	14
seastar_clc_contig_10288	0	73	0	0	0	5
seastar_clc_contig_10289	7	30	3	0	0	0
seastar_clc_contig_1029	13011	44652	7391	3340	5665	3129
seastar_clc_contig_10290	154	801	92	24	113	55
seastar_clc_contig_10291	9	66	1	11	5	4
seastar_clc_contig_10292	201	1271	122	17	33	54
seastar_clc_contig_10293	21	217	13	8	6	10
seastar_clc_contig_10294	128	758	120	8	15	32
seastar_clc_contig_10295	170	512	163	89	268	277
seastar_clc_contig_10296	47	176	12	12	1	8
seastar_clc_contig_10297	140	867	97	25	83	24
seastar_clc_contig_10298	96	1035	85	64	53	68
seastar_clc_contig_10299	50	44	10	4	3	14
seastar_clc_contig_103	239	1185	81	46	96	77
