Feature	HK_CF2	HK_CF35	HK_CF70	V_CF71	V_CF34	V_CF26
seastar_clc_contig_16338	0	90	16	1	11	4
seastar_clc_contig_16339	24	318	20	1	6	7
seastar_clc_contig_1634	508	1466	280	54	79	54
seastar_clc_contig_16340	13	89	4	2	3	0
seastar_clc_contig_16341	3	15	2	1	0	0
seastar_clc_contig_16342	61	434	25	1	2	3
seastar_clc_contig_16343	4	25	0	1	0	1
seastar_clc_contig_16344	35	381	13	8	11	13
seastar_clc_contig_16345	6	7	2	5	3	0
seastar_clc_contig_16346	1	38	6	3	0	2
seastar_clc_contig_16347	57	615	22	8	22	27
seastar_clc_contig_16348	56	205	22	17	17	9
seastar_clc_contig_16349	102	427	78	2	15	9
seastar_clc_contig_1635	335	252	268	114	33	2
seastar_clc_contig_16350	3	44	0	15	4	0
seastar_clc_contig_16351	110	427	56	9	8	14
seastar_clc_contig_16352	12	37	8	9	0	4
seastar_clc_contig_16353	51	287	17	4	7	8
seastar_clc_contig_16354	2	100	6	2	1	1
seastar_clc_contig_16355	269	853	91	8	16	22
seastar_clc_contig_16356	204	912	72	9	20	54
seastar_clc_contig_16357	55	427	29	3	3	10
seastar_clc_contig_16358	0	43	0	4	0	1
seastar_clc_contig_16359	16	96	11	5	10	5
seastar_clc_contig_1636	695	3349	468	1791	3107	1591
seastar_clc_contig_16360	20	139	13	2	5	1
seastar_clc_contig_16361	133	923	65	14	26	22
seastar_clc_contig_16362	0	4	0	5	3	0
seastar_clc_contig_16363	51	540	27	21	24	27
seastar_clc_contig_16364	0	22	4	3	2	2
seastar_clc_contig_16365	27	256	20	8	16	13
seastar_clc_contig_16366	3	22	0	5	7	1
seastar_clc_contig_16367	45	271	29	1	6	9
seastar_clc_contig_16368	40	102	8	2	0	1
seastar_clc_contig_16369	6	30	2	3	7	1
seastar_clc_contig_1637	404	3078	145	200	386	188
seastar_clc_contig_16370	35	121	9	8	15	12
seastar_clc_contig_16371	51	44	1	2	1	4
seastar_clc_contig_16372	40	16	9	1	3	1
seastar_clc_contig_16373	96	379	75	18	58	32
seastar_clc_contig_16374	184	77	48	0	43	6
seastar_clc_contig_16375	13	186	14	2	4	11
seastar_clc_contig_16376	22	105	3	3	3	1
seastar_clc_contig_16377	49	29	9	0	21	12
seastar_clc_contig_16378	7	37	1	6	8	0
seastar_clc_contig_16379	29	377	13	2	0	5
seastar_clc_contig_1638	21	231	173	2487	2295	175
seastar_clc_contig_16380	47	32	21	3	17	6
seastar_clc_contig_16381	21	338	27	22	31	16
seastar_clc_contig_16382	71	775	67	15	35	27
seastar_clc_contig_16383	29	46	1	1	8	8
seastar_clc_contig_16384	40	211	15	3	20	15
seastar_clc_contig_16385	11	31	1	4	0	3
seastar_clc_contig_16386	4	79	13	12	4	12
seastar_clc_contig_16387	78	168	2	2	8	26
seastar_clc_contig_16388	26	328	36	8	12	9
seastar_clc_contig_16389	0	20	0	4	14	2
seastar_clc_contig_1639	365	2070	176	575	564	192
seastar_clc_contig_16390	4	15	0	1	0	0
seastar_clc_contig_16391	35	56	12	3	18	15
seastar_clc_contig_16392	1	17	0	2	7	3
seastar_clc_contig_16393	3	6	1	14	50	5
seastar_clc_contig_16394	37	335	31	10	38	21
seastar_clc_contig_16395	9	59	2	1	4	10
seastar_clc_contig_16396	33	76	2	9	11	6
seastar_clc_contig_16397	0	41	0	0	0	0
seastar_clc_contig_16398	176	1157	191	16	45	61
seastar_clc_contig_16399	141	609	70	15	11	22
seastar_clc_contig_164	65	149	69	1933	1212	170
seastar_clc_contig_1640	15	121	22	854	472	133
seastar_clc_contig_16400	118	331	44	2	50	25
seastar_clc_contig_16401	1	28	3	4	7	0
seastar_clc_contig_16402	16	346	47	13	18	21
seastar_clc_contig_16403	15	210	4	13	11	9
seastar_clc_contig_16404	7	55	9	1	0	3
seastar_clc_contig_16405	41	260	22	3	17	10
seastar_clc_contig_16406	35	19	15	1	6	11
seastar_clc_contig_16407	10	47	2	1	4	2
seastar_clc_contig_16408	4	14	0	0	0	0
seastar_clc_contig_16409	202	668	65	11	16	40
seastar_clc_contig_1641	4245	15253	1782	525	991	478
seastar_clc_contig_16410	128	665	63	9	27	43
seastar_clc_contig_16411	12	252	218	1	58	9
seastar_clc_contig_16412	20	212	14	3	15	3
seastar_clc_contig_16413	47	107	31	1	1	17
seastar_clc_contig_16414	1798	5379	412	21	79	101
seastar_clc_contig_16415	10	48	0	5	1	6
seastar_clc_contig_16416	96	503	59	4	16	21
seastar_clc_contig_16417	3	82	3	1	7	3
seastar_clc_contig_16418	350	2205	334	72	95	54
seastar_clc_contig_16419	34	28	7	4	16	5
seastar_clc_contig_1642	175	670	91	27	138	36
seastar_clc_contig_16420	7	21	1	4	2	0
seastar_clc_contig_16421	0	25	7	11	7	3
seastar_clc_contig_16422	5	20	1	18	14	4
seastar_clc_contig_16423	34	142	15	5	3	13
seastar_clc_contig_16424	37	347	12	8	23	12
seastar_clc_contig_16425	55	653	23	7	53	11
seastar_clc_contig_16426	7	80	9	0	0	5
seastar_clc_contig_16427	36	231	15	0	6	1
seastar_clc_contig_16428	57	414	34	11	37	18
seastar_clc_contig_16429	12	149	27	12	7	20
seastar_clc_contig_1643	394	1938	337	52	122	84
seastar_clc_contig_16430	10	128	14	2	5	2
seastar_clc_contig_16431	73	80	44	10	7	10
seastar_clc_contig_16432	124	25	2	3	92	52
seastar_clc_contig_16433	36	237	14	11	12	9
seastar_clc_contig_16434	4	4	3	6	1	2
seastar_clc_contig_16435	403	1274	207	27	92	67
seastar_clc_contig_16436	19	172	7	2	0	0
seastar_clc_contig_16437	32	225	19	0	4	10
seastar_clc_contig_16438	16	102	5	9	1	2
seastar_clc_contig_16439	0	33	1	0	0	1
seastar_clc_contig_1644	125	520	58	110	69	38
seastar_clc_contig_16440	29	229	8	17	23	7
seastar_clc_contig_16441	8	53	7	0	8	2
seastar_clc_contig_16442	45	72	27	13	9	22
seastar_clc_contig_16443	0	0	3	5	0	0
seastar_clc_contig_16444	0	77	11	6	12	8
seastar_clc_contig_16445	20	417	13	4	13	13
seastar_clc_contig_16446	19	228	11	7	27	6
seastar_clc_contig_16447	78	448	60	5	9	12
seastar_clc_contig_16448	18	70	12	1	5	1
seastar_clc_contig_16449	5	9	3	2	0	0
seastar_clc_contig_1645	154	90	72	284	119	55
seastar_clc_contig_16450	113	1286	27	6	43	18
seastar_clc_contig_16451	125	623	87	7	29	33
seastar_clc_contig_16452	0	18	2	2	0	0
seastar_clc_contig_16453	57	732	42	8	26	13
seastar_clc_contig_16454	6	92	7	4	0	2
seastar_clc_contig_16455	905	3079	379	42	88	95
seastar_clc_contig_16456	107	52	23	1	28	14
seastar_clc_contig_16457	6	81	2	4	1	4
seastar_clc_contig_16458	65	286	57	4	31	20
seastar_clc_contig_16459	19	60	0	1	3	20
seastar_clc_contig_1646	173	3062	421	110	302	233
seastar_clc_contig_16460	4	9	0	10	25	10
seastar_clc_contig_16461	509	1106	226	11	100	88
seastar_clc_contig_16462	5	16	1	1	5	3
seastar_clc_contig_16463	47	29	9	1	12	5
seastar_clc_contig_16464	10	6	3	3	0	0
seastar_clc_contig_16465	117	516	40	32	39	44
seastar_clc_contig_16466	0	10	5	3	9	1
seastar_clc_contig_16467	4	27	11	3	5	3
seastar_clc_contig_16468	12	152	1	2	7	2
seastar_clc_contig_16469	7	139	5	11	18	1
seastar_clc_contig_1647	193	50	118	203	286	301
seastar_clc_contig_16470	4	51	1	7	1	0
seastar_clc_contig_16471	2	48	7	6	0	1
seastar_clc_contig_16472	222	1002	107	21	67	42
seastar_clc_contig_16473	67	29	10	2	6	5
seastar_clc_contig_16474	0	9	0	2	0	0
seastar_clc_contig_16475	144	455	21	3	14	18
seastar_clc_contig_16476	3	375	0	1	0	0
seastar_clc_contig_16477	6	198	3	0	0	0
seastar_clc_contig_16478	14	120	4	17	12	7
seastar_clc_contig_16479	0	61	3	5	6	5
seastar_clc_contig_1648	8	4	11	19	55	8
seastar_clc_contig_16480	64	199	14	7	43	10
seastar_clc_contig_16481	64	187	22	5	7	10
seastar_clc_contig_16482	9	72	6	2	2	3
seastar_clc_contig_16483	125	488	37	4	7	4
seastar_clc_contig_16484	21	227	8	13	19	5
seastar_clc_contig_16485	8	211	14	11	1	17
seastar_clc_contig_16486	36	76	0	12	9	0
seastar_clc_contig_16487	24	209	11	8	15	8
seastar_clc_contig_16488	7	66	3	1	4	3
seastar_clc_contig_16489	1697	15	553	0	235	33
seastar_clc_contig_1649	261	1649	119	281	282	153
seastar_clc_contig_16490	62	523	26	2	26	12
seastar_clc_contig_16491	8	18	8	2	0	3
seastar_clc_contig_16492	268	2916	154	7	52	19
seastar_clc_contig_16493	22	21	8	1	12	10
seastar_clc_contig_16494	24	99	8	3	0	0
seastar_clc_contig_16495	0	30	0	12	18	6
seastar_clc_contig_16496	22	406	25	9	34	16
seastar_clc_contig_16497	27	83	12	8	3	7
seastar_clc_contig_16498	15	1141	7	4	0	5
seastar_clc_contig_16499	5	122	8	0	0	2
seastar_clc_contig_165	369	2768	141	18	32	23
seastar_clc_contig_1650	42	80	24	28	48	63
seastar_clc_contig_16500	8	30	0	3	0	5
seastar_clc_contig_16501	6	63	9	0	7	0
seastar_clc_contig_16502	5	237	3	6	0	0
seastar_clc_contig_16503	36	13	7	3	5	9
seastar_clc_contig_16504	7	32	1	2	7	1
seastar_clc_contig_16505	25	186	36	31	83	22
seastar_clc_contig_16506	2	0	2	4	1	0
seastar_clc_contig_16507	7	62	1	1	0	0
seastar_clc_contig_16508	49	319	15	4	3	3
seastar_clc_contig_16509	0	8	1	1	7	0
seastar_clc_contig_1651	7088	40445	4957	1290	2883	1504
seastar_clc_contig_16510	25	130	6	7	12	9
seastar_clc_contig_16511	10	95	9	8	7	6
seastar_clc_contig_16512	3	3	4	5	0	7
seastar_clc_contig_16513	35	163	26	9	12	4
seastar_clc_contig_16514	64	287	40	10	19	12
seastar_clc_contig_16515	1	54	1	4	0	0
seastar_clc_contig_16516	33	157	1	13	27	13
seastar_clc_contig_16517	1	35	0	4	8	2
seastar_clc_contig_16518	4	18	1	6	0	5
seastar_clc_contig_16519	1643	1419	448	142	351	278
seastar_clc_contig_1652	123	267	20	913	887	444
seastar_clc_contig_16520	218	782	55	7	7	451
seastar_clc_contig_16521	3	40	1	3	0	4
seastar_clc_contig_16522	9	71	2	3	0	4
seastar_clc_contig_16523	99	313	54	8	35	23
seastar_clc_contig_16524	108	558	33	4	6	8
seastar_clc_contig_16525	126	600	67	5	26	7
seastar_clc_contig_16526	0	92	0	3	0	1
seastar_clc_contig_16527	38	169	10	4	6	6
seastar_clc_contig_16528	38	239	9	2	17	14
seastar_clc_contig_16529	37	128	6	2	4	4
seastar_clc_contig_1653	1375	5497	641	242	532	327
seastar_clc_contig_16530	6	109	4	3	8	7
seastar_clc_contig_16531	22	69	12	9	23	11
seastar_clc_contig_16532	129	324	62	12	32	30
seastar_clc_contig_16533	0	26	1	1	3	1
seastar_clc_contig_16534	7	58	5	25	71	29
seastar_clc_contig_16535	230	191	67	17	60	35
seastar_clc_contig_16536	12	21	15	9	9	98
seastar_clc_contig_16537	9	28	3	2	10	11
seastar_clc_contig_16538	8	124	5	5	7	4
seastar_clc_contig_16539	2	40	21	1	0	5
seastar_clc_contig_1654	88	800	67	694	485	498
seastar_clc_contig_16540	15	73	1	0	0	1
seastar_clc_contig_16541	145	90	36	6	35	29
seastar_clc_contig_16542	21	6	1	2	0	0
seastar_clc_contig_16543	7	25	2	1	1	2
seastar_clc_contig_16544	52	165	17	4	29	63
seastar_clc_contig_16545	261	977	157	13	53	74
seastar_clc_contig_16546	0	2	0	3	0	4
seastar_clc_contig_16547	1	57	5	2	0	4
seastar_clc_contig_16548	21	101	4	6	0	3
seastar_clc_contig_16549	80	194	55	2	26	18
seastar_clc_contig_1655	779	3218	419	928	746	705
seastar_clc_contig_16550	10	82	0	1	3	0
seastar_clc_contig_16551	35	206	24	10	14	15
seastar_clc_contig_16552	48	295	29	16	43	26
seastar_clc_contig_16553	13	65	11	3	0	0
seastar_clc_contig_16554	25	66	20	12	5	19
seastar_clc_contig_16555	123	366	69	16	36	11
seastar_clc_contig_16556	153	501	38	5	23	2
seastar_clc_contig_16557	4	59	5	0	0	5
seastar_clc_contig_16558	76	89	24	5	25	8
seastar_clc_contig_16559	4	14	0	0	0	3
seastar_clc_contig_1656	31	196	46	506	217	287
seastar_clc_contig_16560	30	210	12	8	9	6
seastar_clc_contig_16561	27	68	12	2	0	0
seastar_clc_contig_16562	81	313	47	4	15	4
seastar_clc_contig_16563	0	104	0	4	5	4
seastar_clc_contig_16564	11	18	2	7	0	4
seastar_clc_contig_16565	37	285	13	1	5	6
seastar_clc_contig_16566	41	235	44	18	0	0
seastar_clc_contig_16567	349	1209	112	49	122	100
seastar_clc_contig_16568	6	2	0	7	0	28
seastar_clc_contig_16569	12	229	13	4	4	15
seastar_clc_contig_1657	103	1888	92	213	131	90
seastar_clc_contig_16570	12	11	3	1	1	6
seastar_clc_contig_16571	468	339	120	21	20	16
seastar_clc_contig_16572	35	254	48	9	31	9
seastar_clc_contig_16573	13	358	25	6	8	3
seastar_clc_contig_16574	48	270	19	14	40	14
seastar_clc_contig_16575	86	336	58	2	8	21
seastar_clc_contig_16576	0	15	7	1	0	0
seastar_clc_contig_16577	17	2	6	0	11	1
seastar_clc_contig_16578	5	129	5	16	11	6
seastar_clc_contig_16579	72	63	8	4	17	231
seastar_clc_contig_1658	300	867	98	116	163	130
seastar_clc_contig_16580	0	24	0	12	3	2
seastar_clc_contig_16581	78	864	79	15	22	33
seastar_clc_contig_16582	20	286	15	1	4	8
seastar_clc_contig_16583	7	147	2	15	21	6
seastar_clc_contig_16584	13	32	11	2	11	12
seastar_clc_contig_16585	42	14	19	7	18	16
seastar_clc_contig_16586	63	190	20	8	20	15
seastar_clc_contig_16587	22	93	15	4	10	11
seastar_clc_contig_16588	33	150	9	7	6	9
seastar_clc_contig_16589	6	87	7	9	0	4
seastar_clc_contig_1659	4	15	0	2	3	1
seastar_clc_contig_16590	9	70	25	27	63	11
seastar_clc_contig_16591	507	364	128	39	130	83
seastar_clc_contig_16592	1	34	5	3	11	5
seastar_clc_contig_16593	7	39	2	7	8	1
seastar_clc_contig_16594	15	6	11	1	1	1
seastar_clc_contig_16595	18	247	5	5	15	6
seastar_clc_contig_16596	20	14	0	0	1	3
seastar_clc_contig_16597	105	272	40	5	4	5
seastar_clc_contig_16598	18	73	2	10	1	3
seastar_clc_contig_16599	53	179	18	14	17	59
seastar_clc_contig_166	407	1316	288	538	755	360
seastar_clc_contig_1660	197	651	86	12	62	42
seastar_clc_contig_16600	22	1	4	1	3	1
seastar_clc_contig_16601	64	1052	155	21	14	22
seastar_clc_contig_16602	20	152	4	4	5	7
seastar_clc_contig_16603	16	19	1	2	3	0
seastar_clc_contig_16604	204	174	56	20	29	33
seastar_clc_contig_16605	41	256	17	6	26	11
seastar_clc_contig_16606	66	324	44	23	56	35
seastar_clc_contig_16607	8	606	9	4	10	22
seastar_clc_contig_16608	81	195	33	10	10	11
seastar_clc_contig_16609	3	91	0	6	3	0
seastar_clc_contig_1661	285	1737	246	277	207	273
seastar_clc_contig_16610	0	44	2	1	0	0
seastar_clc_contig_16611	28	22	20	8	6	5
seastar_clc_contig_16612	30	82	5	2	9	1
seastar_clc_contig_16613	8	69	9	2	8	8
seastar_clc_contig_16614	55	186	28	3	7	17
seastar_clc_contig_16615	77	591	30	0	2	5
seastar_clc_contig_16616	49	583	39	12	17	28
seastar_clc_contig_16617	5	70	4	5	11	8
seastar_clc_contig_16618	34	204	23	2	0	1
seastar_clc_contig_16619	12	97	4	2	1	1
seastar_clc_contig_1662	7	196	2	4	10	11
seastar_clc_contig_16620	18	44	5	5	2	0
seastar_clc_contig_16621	2	43	2	2	10	6
seastar_clc_contig_16622	2	104	0	0	0	0
seastar_clc_contig_16623	0	19	0	0	5	0
seastar_clc_contig_16624	6	95	1	9	10	7
seastar_clc_contig_16625	7	23	10	7	5	8
seastar_clc_contig_16626	9	159	1	4	37	10
seastar_clc_contig_16627	22	170	4	2	11	4
seastar_clc_contig_16628	3	45	1	0	0	3
seastar_clc_contig_16629	1	45	1	0	0	0
seastar_clc_contig_1663	5437	19540	1165	132	490	573
seastar_clc_contig_16630	9	95	1	3	3	2
seastar_clc_contig_16631	14	0	10	4	5	0
seastar_clc_contig_16632	33	8	1	5	1	4
seastar_clc_contig_16633	6	45	1	3	2	0
seastar_clc_contig_16634	14	86	4	11	35	16
seastar_clc_contig_16635	40	129	25	7	33	9
seastar_clc_contig_16636	38	32	8	3	13	8
seastar_clc_contig_16637	101	1187	55	25	84	47
seastar_clc_contig_16638	82	738	55	12	33	47
seastar_clc_contig_16639	1	40	0	7	7	1
seastar_clc_contig_1664	118	648	32	220	101	49
seastar_clc_contig_16640	0	11	0	1	0	0
seastar_clc_contig_16641	17	53	4	3	9	3
seastar_clc_contig_16642	59	362	31	4	2	16
seastar_clc_contig_16643	137	401	62	4	11	32
seastar_clc_contig_16644	0	45	2	3	4	4
seastar_clc_contig_16645	3	30	8	3	5	3
seastar_clc_contig_16646	45	429	20	17	12	38
seastar_clc_contig_16647	9	35	5	7	2	7
seastar_clc_contig_16648	1	33	2	12	15	10
seastar_clc_contig_16649	152	426	66	7	25	17
seastar_clc_contig_1665	492	3853	797	1241	808	1123
seastar_clc_contig_16650	10	152	13	1	6	3
seastar_clc_contig_16651	24	31	7	5	0	1
seastar_clc_contig_16652	122	352	28	7	14	32
seastar_clc_contig_16653	8	49	8	4	15	1
seastar_clc_contig_16654	64	259	39	13	25	48
seastar_clc_contig_16655	13	117	6	8	8	7
seastar_clc_contig_16656	140	1182	64	24	53	56
seastar_clc_contig_16657	7	427	621	7	8	0
seastar_clc_contig_16658	36	248	20	14	13	17
seastar_clc_contig_16659	11	69	5	4	5	1
seastar_clc_contig_1666	789	5477	647	244	665	247
seastar_clc_contig_16660	24	4	0	2	0	3
seastar_clc_contig_16661	0	36	0	3	3	0
seastar_clc_contig_16662	14	56	2	16	13	0
seastar_clc_contig_16663	18	135	16	9	20	15
seastar_clc_contig_16664	14	128	15	1	6	3
seastar_clc_contig_16665	10	22	5	4	15	2
seastar_clc_contig_16666	23	142	11	4	0	3
seastar_clc_contig_16667	0	22	0	26	13	3
seastar_clc_contig_16668	118	1053	93	36	30	37
seastar_clc_contig_16669	10	75	2	7	2	2
seastar_clc_contig_1667	619	3085	414	65	144	174
seastar_clc_contig_16670	59	115	33	4	7	4
seastar_clc_contig_16671	0	2	0	0	51	8
seastar_clc_contig_16672	20	137	5	1	10	1
seastar_clc_contig_16673	18	5	5	2	3	0
seastar_clc_contig_16674	44	652	36	8	20	8
seastar_clc_contig_16675	0	44	0	2	5	2
seastar_clc_contig_16676	0	273	0	0	0	11
seastar_clc_contig_16677	13	155	13	2	12	5
seastar_clc_contig_16678	12	93	5	2	4	3
seastar_clc_contig_16679	11	10	5	2	0	6
seastar_clc_contig_1668	73	671	11	37	29	22
seastar_clc_contig_16680	184	137	46	10	35	49
seastar_clc_contig_16681	29	89	10	3	8	13
seastar_clc_contig_16682	89	403	40	10	16	15
seastar_clc_contig_16683	19	124	4	3	12	13
seastar_clc_contig_16684	11	68	8	3	4	12
seastar_clc_contig_16685	19	171	14	7	9	7
seastar_clc_contig_16686	50	337	24	2	6	8
seastar_clc_contig_16687	0	24	0	3	0	3
seastar_clc_contig_16688	0	43	2	2	0	1
seastar_clc_contig_16689	6	40	4	4	12	3
seastar_clc_contig_1669	247	865	209	238	538	543
seastar_clc_contig_16690	66	487	41	10	23	10
seastar_clc_contig_16691	45	252	19	13	45	13
seastar_clc_contig_16692	88	348	17	8	24	41
seastar_clc_contig_16693	44	258	14	10	7	7
seastar_clc_contig_16694	220	928	147	10	21	12
seastar_clc_contig_16695	7	6	1	10	13	4
seastar_clc_contig_16696	27	37	7	3	2	6
seastar_clc_contig_16697	2	62	5	0	0	2
seastar_clc_contig_16698	0	42	8	14	19	2
seastar_clc_contig_16699	122	131	5	8	38	11
seastar_clc_contig_167	2281	8331	1595	803	1360	876
seastar_clc_contig_1670	533	2502	283	41	98	51
seastar_clc_contig_16700	223	376	42	10	21	34
seastar_clc_contig_16701	38	290	21	7	1	10
seastar_clc_contig_16702	18	96	8	5	0	5
seastar_clc_contig_16703	17	43	7	15	12	16
seastar_clc_contig_16704	70	306	33	13	11	9
seastar_clc_contig_16705	54	278	22	2	9	9
seastar_clc_contig_16706	0	45	4	12	53	12
seastar_clc_contig_16707	5	22	1	2	0	7
seastar_clc_contig_16708	0	21	0	1	0	0
seastar_clc_contig_16709	0	33	0	0	2	0
seastar_clc_contig_1671	81	936	186	1332	870	571
seastar_clc_contig_16710	42	193	25	8	3	11
seastar_clc_contig_16711	43	36	6	0	13	6
seastar_clc_contig_16712	36	283	45	5	4	7
seastar_clc_contig_16713	210	658	122	20	71	27
seastar_clc_contig_16714	18	19	1	4	5	1
seastar_clc_contig_16715	69	45	37	27	4	11
seastar_clc_contig_16716	104	355	56	5	17	6
seastar_clc_contig_16717	9	70	7	6	1	1
seastar_clc_contig_16718	3	36	1	0	5	2
seastar_clc_contig_16719	0	21	0	1	0	0
seastar_clc_contig_1672	710	3990	578	307	589	424
seastar_clc_contig_16720	74	176	12	15	24	10
seastar_clc_contig_16721	44	81	9	0	2	3
seastar_clc_contig_16722	3	40	7	2	0	0
seastar_clc_contig_16723	20	34	9	5	0	2
seastar_clc_contig_16724	24	190	10	3	1	8
seastar_clc_contig_16725	2	5	4	12	4	0
seastar_clc_contig_16726	4	98	14	2	0	7
seastar_clc_contig_16727	35	154	26	5	16	8
seastar_clc_contig_16728	185	146	28	4	13	4
seastar_clc_contig_16729	232	238	73	12	44	38
seastar_clc_contig_1673	142	2138	224	70	238	138
seastar_clc_contig_16730	33	30	2	0	4	4
seastar_clc_contig_16731	4	128	7	2	0	11
seastar_clc_contig_16732	236	156	45	11	20	20
seastar_clc_contig_16733	12	74	7	0	2	1
seastar_clc_contig_16734	55	298	35	0	0	1
seastar_clc_contig_16735	8	18	0	3	15	5
seastar_clc_contig_16736	0	71	0	2	9	1
seastar_clc_contig_16737	15	44	0	3	6	3
seastar_clc_contig_16738	62	125	14	3	0	2
seastar_clc_contig_16739	31	138	15	9	10	11
seastar_clc_contig_1674	32	11	8	192	40	17
seastar_clc_contig_16740	3	72	2	1	14	2
seastar_clc_contig_16741	17	24	0	0	5	1
seastar_clc_contig_16742	5	7	4	1	2	4
seastar_clc_contig_16743	0	17	0	4	0	3
seastar_clc_contig_16744	19	127	12	1	5	10
seastar_clc_contig_16745	32	153	11	1	0	0
seastar_clc_contig_16746	2	28	1	1	0	0
seastar_clc_contig_16747	26	121	15	5	8	3
seastar_clc_contig_16748	43	156	18	9	24	20
seastar_clc_contig_16749	36	350	12	19	74	15
seastar_clc_contig_1675	279	1194	119	627	510	390
seastar_clc_contig_16750	160	549	65	8	34	12
seastar_clc_contig_16751	0	68	0	1	1	0
seastar_clc_contig_16752	48	338	12	13	31	12
seastar_clc_contig_16753	141	508	67	14	40	35
seastar_clc_contig_16754	0	9	0	2	0	0
seastar_clc_contig_16755	59	52	12	1	38	5
seastar_clc_contig_16756	72	737	83	20	42	20
seastar_clc_contig_16757	23	6	0	3	0	12
seastar_clc_contig_16758	4	42	0	5	14	1
seastar_clc_contig_16759	28	39	26	6	19	14
seastar_clc_contig_1676	501	1886	95	104	286	149
seastar_clc_contig_16760	137	105	42	6	15	27
seastar_clc_contig_16761	37	698	22	7	53	24
seastar_clc_contig_16762	107	575	40	4	12	11
seastar_clc_contig_16763	27	34	3	11	5	25
seastar_clc_contig_16764	4	136	4	14	16	20
seastar_clc_contig_16765	6	35	0	1	0	0
seastar_clc_contig_16766	0	23	0	3	9	6
seastar_clc_contig_16767	10	87	3	11	9	2
seastar_clc_contig_16768	49	26	11	6	0	4
seastar_clc_contig_16769	18	83	6	4	4	0
seastar_clc_contig_1677	23796	14964	5472	910	5086	3246
seastar_clc_contig_16770	5	20	1	3	0	10
seastar_clc_contig_16771	3	53	7	3	6	7
seastar_clc_contig_16772	13	74	5	0	0	2
seastar_clc_contig_16773	18	67	8	0	1	2
seastar_clc_contig_16774	64	203	49	8	0	8
seastar_clc_contig_16775	18	106	8	1	0	0
seastar_clc_contig_16776	4	5	2	8	23	1
seastar_clc_contig_16777	11	142	12	26	27	18
seastar_clc_contig_16778	164	1008	83	17	66	54
seastar_clc_contig_16779	20	231	20	7	6	5
seastar_clc_contig_1678	2410	9265	1335	839	1370	805
seastar_clc_contig_16780	5	16	4	2	1	2
seastar_clc_contig_16781	3	65	4	3	6	4
seastar_clc_contig_16782	13	51	1	3	3	0
seastar_clc_contig_16783	23	172	4	0	1	4
seastar_clc_contig_16784	16	65	16	12	18	1
seastar_clc_contig_16785	43	388	64	4	41	8
seastar_clc_contig_16786	98	505	40	7	23	18
seastar_clc_contig_16787	8	88	5	3	2	8
seastar_clc_contig_16788	32	0	0	0	0	0
seastar_clc_contig_16789	32	260	37	11	42	21
seastar_clc_contig_1679	38	396	18	928	302	186
seastar_clc_contig_16790	0	30	0	4	4	2
seastar_clc_contig_16791	155	1061	55	12	57	25
seastar_clc_contig_16792	2	43	0	1	0	0
seastar_clc_contig_16793	27	7	4	3	0	7
seastar_clc_contig_16794	49	189	34	10	27	10
seastar_clc_contig_16795	89	352	50	5	34	54
seastar_clc_contig_16796	8	61	0	2	10	0
seastar_clc_contig_16797	25	305	19	8	10	7
seastar_clc_contig_16798	18	44	0	5	5	0
seastar_clc_contig_16799	5	25	4	3	5	3
seastar_clc_contig_168	4	115	6	10	20	12
seastar_clc_contig_1680	140	1613	99	176	274	147
seastar_clc_contig_16800	3	14	0	0	1	0
seastar_clc_contig_16801	8	76	9	1	4	1
seastar_clc_contig_16802	1	7	0	15	11	1
seastar_clc_contig_16803	91	751	36	12	34	21
seastar_clc_contig_16804	10	72	12	3	14	5
seastar_clc_contig_16805	13	139	16	0	7	5
seastar_clc_contig_16806	0	25	2	12	3	4
seastar_clc_contig_16807	132	779	91	15	40	13
seastar_clc_contig_16808	114	524	30	12	30	14
seastar_clc_contig_16809	15	54	8	1	0	5
seastar_clc_contig_1681	531	3825	946	161	484	311
seastar_clc_contig_16810	320	1715	154	19	86	46
seastar_clc_contig_16811	1	52	13	2	18	0
seastar_clc_contig_16812	322	1295	237	8	23	18
seastar_clc_contig_16813	7	109	2	8	0	1
seastar_clc_contig_16814	0	38	0	2	0	0
seastar_clc_contig_16815	15	215	13	1	11	2
seastar_clc_contig_16816	5	10	0	1	4	1
seastar_clc_contig_16817	5	98	3	12	5	5
seastar_clc_contig_16818	0	14	1	9	1	2
seastar_clc_contig_16819	18	449	3	3	5	92
seastar_clc_contig_1682	514	3285	363	30	142	42
seastar_clc_contig_16820	59	423	41	11	32	28
seastar_clc_contig_16821	53	380	31	2	25	6
seastar_clc_contig_16822	38	271	15	6	9	5
seastar_clc_contig_16823	20	2	0	10	14	1
seastar_clc_contig_16824	32	130	6	4	12	6
seastar_clc_contig_16825	9	10	18	8	22	7
seastar_clc_contig_16826	0	128	0	0	0	0
seastar_clc_contig_16827	3	27	2	2	1	0
seastar_clc_contig_16828	64	509	18	0	0	1
seastar_clc_contig_16829	0	267	19	8	9	1
seastar_clc_contig_1683	15	89	32	222	192	76
seastar_clc_contig_16830	1	54	3	3	0	2
seastar_clc_contig_16831	57	58	12	2	13	15
seastar_clc_contig_16832	78	70	57	45	80	29
seastar_clc_contig_16833	15	178	19	11	4	11
seastar_clc_contig_16834	12	1	2	2	1	8
seastar_clc_contig_16835	53	816	11	0	11	5
seastar_clc_contig_16836	26	23	8	1	5	1
seastar_clc_contig_16837	18	59	5	5	1	0
