Contig	HK_CF2	HK_CF35	HK_CF70	V_CF26	V_CF34	V_CF71
Phel_clc_contig_22169	27.5173	57.5932	20.9475	0	8.5025	0
Phel_clc_contig_5232	42.5863	89.8404	46.8239	0	17.005	3.9491
Phel_clc_contig_7417	118.5865	234.2626	125.6853	32.0433	46.7637	25.6693
Phel_clc_contig_11424	391.7941	444.0576	503.9733	101.956	75.1053	92.8042
Phel_clc_contig_14297	359.6906	405.5366	453.4527	58.2606	18.4221	31.5929
Phel_clc_contig_10888	129.7245	153.7074	197.1534	26.2173	12.7537	21.7201
Phel_clc_contig_19112	253.5524	338.7837	383.2169	43.6954	39.6783	57.2622
Phel_clc_contig_13213	187.3798	261.3653	271.0859	64.0866	32.5929	31.5929
Phel_clc_contig_12134	112.6899	166.1295	156.4905	17.4782	12.7537	21.7201
Phel_clc_contig_6750	1181.9341	1921.1543	1647.4628	40.7824	72.2711	37.5166
Phel_clc_contig_29243	5.8966	8.1559	8.6255	0	0	0
Phel_clc_contig_6434	105.483	139.5287	138.0074	29.1303	31.1758	21.7201
Phel_clc_contig_14361	118.5865	221.966	205.7788	55.3476	45.3466	59.2367
Phel_clc_contig_11643	583.7601	1097.7845	1007.9466	168.9557	97.7786	90.8297
Phel_clc_contig_1450	1445.3141	2171.1013	2029.4474	766.1266	602.2596	527.2069
Phel_clc_contig_25027	9.1724	16.9392	16.0187	2.913	0	0
Phel_clc_contig_9853	74.0347	153.08	144.1684	23.3042	18.4221	3.9491
Phel_clc_contig_10213	43.2415	50.5666	45.5917	23.3042	15.5879	7.8982
Phel_clc_contig_2966	203.7592	240.16	199.6178	96.13	99.1957	45.4148
Phel_clc_contig_16775	11.7931	13.3004	9.8577	2.913	0	0
Phel_clc_contig_12675	30.7932	39.1483	32.0374	14.5651	5.6683	5.9237
Phel_clc_contig_6820	157.897	219.2056	149.0972	64.0866	18.4221	21.7201
Phel_clc_contig_12119	142.828	220.2094	167.5804	58.2606	28.3416	25.6693
Phel_clc_contig_12713	325.6215	472.666	389.3779	125.2603	32.5929	82.9314
Phel_clc_contig_12805	93.6899	134.5097	114.5954	49.5215	34.01	55.2876
Phel_clc_contig_4407	172.3108	245.8064	216.8687	93.2169	63.7687	90.8297
Phel_clc_contig_1757	452.0701	721.3583	575.4413	125.2603	72.2711	128.3463
Phel_clc_contig_4576	72.7243	110.5439	92.4156	17.4782	14.1708	23.6947
Phel_clc_contig_22211	18.3449	25.4715	18.4831	2.913	0	1.9746
Phel_clc_contig_19889	30.7932	41.9088	34.5018	2.913	0	3.9491
Phel_clc_contig_7983	191.966	216.947	192.2245	84.4778	76.5224	88.8551
Phel_clc_contig_8635	60.276	75.6617	61.6104	0	0	11.8473
Phel_clc_contig_11488	218.173	330.0004	235.3518	64.0866	68.0199	23.6947
Phel_clc_contig_20320	69.4485	95.6123	71.4681	17.4782	22.6733	13.8219
Phel_clc_contig_20161	211.6212	318.8331	202.0822	11.6521	7.0854	21.7201
Phel_clc_contig_8808	298.7594	433.3922	321.6064	81.5648	97.7786	94.7788
Phel_clc_contig_25452	87.7933	97.7454	64.0748	0	17.005	1.9746
Phel_clc_contig_4927	837.9677	903.4231	760.2726	334.9984	379.7778	341.5985
Phel_clc_contig_8892	418.0011	511.5633	351.1794	34.9563	62.3516	35.542
Phel_clc_contig_27834	9.1724	12.5475	9.8577	0	1.4171	0
Phel_clc_contig_8352	323.0008	377.6811	319.142	96.13	128.9544	114.5244
Phel_clc_contig_12310	390.4838	448.8256	225.4942	119.4342	19.8391	88.8551
Phel_clc_contig_15824	54.3795	55.0837	29.573	17.4782	2.8342	13.8219
Phel_clc_contig_16508	32.1035	40.0267	18.4831	11.6521	4.2512	5.9237
Phel_clc_contig_10161	106.1382	116.8176	27.1086	5.8261	4.2512	25.6693
Phel_clc_contig_13198	275.1731	290.4756	94.8801	5.8261	25.5075	39.4912
Phel_clc_contig_27525	16.3794	20.7034	8.6255	0	0	1.9746
Phel_clc_contig_23205	26.207	28.6084	11.0899	0	0	3.9491
Phel_clc_contig_3860	352.4837	384.3312	231.6552	116.5212	128.9544	150.0664
Phel_clc_contig_10959	43.8967	60.2282	20.9475	11.6521	7.0854	5.9237
Phel_clc_contig_22898	58.9657	70.1408	17.2509	5.8261	1.4171	1.9746
Phel_clc_contig_439	6714.2241	7879.606	4185.8125	2531.4224	3028.303	3015.1497
Phel_clc_contig_24134	19.6552	22.962	9.8577	2.913	2.8342	1.9746
Phel_clc_contig_9206	300.7249	365.5099	192.2245	110.6951	103.4469	100.7024
Phel_clc_contig_11948	96.9658	97.2435	61.6104	20.3912	26.9245	23.6947
Phel_clc_contig_2278	1854.7979	2001.5841	1198.9388	367.0417	603.6767	313.9547
Phel_clc_contig_1739	1620.9008	1814.2493	1122.542	233.0423	233.8184	104.6516
Phel_clc_contig_7353	69.4485	88.4602	56.6816	23.3042	31.1758	23.6947
Phel_clc_contig_9504	244.3799	298.506	172.5092	81.5648	123.2861	78.9823
Phel_clc_contig_12233	38.0001	44.9202	28.3408	11.6521	7.0854	7.8982
Phel_clc_contig_19007	51.7588	69.2624	33.2696	8.7391	0	1.9746
Phel_clc_contig_15233	110.7244	166.004	91.1834	14.5651	5.6683	9.8728
Phel_clc_contig_5495	169.6901	232.7569	140.4718	99.043	51.0149	55.2876
Phel_clc_contig_25377	13.7587	21.4563	8.6255	2.913	1.4171	0
Phel_clc_contig_8012	145.4487	197.8748	110.8988	75.7388	63.7687	47.3894
Phel_clc_contig_9976	79.2761	117.9469	64.0748	32.0433	21.2562	21.7201
Phel_clc_contig_12383	48.4829	79.175	28.3408	2.913	4.2512	0
Phel_clc_contig_5999	19	31.8708	12.3221	0	0	0
Phel_clc_contig_3853	367.5527	540.7991	243.9773	55.3476	79.3566	84.906
Phel_clc_contig_27302	11.138	20.578	8.6255	0	0	1.9746
Phel_clc_contig_6367	218.173	338.5327	170.0448	29.1303	21.2562	45.4148
Phel_clc_contig_6205	257.4834	345.5593	211.9399	101.956	137.4569	136.2445
Phel_clc_contig_11679	39.3104	256.4718	71.4681	29.1303	18.4221	19.7456
Phel_clc_contig_23311	2.6207	23.9658	7.3933	0	0	0
Phel_clc_contig_24621	7.2069	74.7834	25.8764	2.913	2.8342	3.9491
Phel_clc_contig_13317	20.9656	53.0761	16.0187	2.913	1.4171	5.9237
Phel_clc_contig_11764	70.1036	169.0154	62.8426	8.7391	19.8391	19.7456
Phel_clc_contig_19540	50.4484	132.753	43.1273	8.7391	11.3367	11.8473
Phel_clc_contig_25692	16.3794	33.6274	12.3221	2.913	2.8342	3.9491
Phel_clc_contig_15504	9.8276	25.0951	4.9288	0	0	0
Phel_clc_contig_6250	508.4151	1085.2371	426.3441	244.6944	196.9743	191.5321
Phel_clc_contig_13540	7.8621	18.1939	7.3933	0	0	0
Phel_clc_contig_7273	205.7247	401.2704	203.3144	99.043	85.0249	94.7788
Phel_clc_contig_744	1979.9362	3536.3997	1483.5791	1060.3427	766.6411	673.3242
Phel_clc_contig_3984	42.5863	133.3804	59.146	11.6521	4.2512	13.8219
Phel_clc_contig_14226	81.2416	226.8596	59.146	17.4782	35.427	13.8219
Phel_clc_contig_17449	261.4145	654.8563	123.2208	14.5651	96.3615	57.2622
Phel_clc_contig_10256	27.5173	106.9051	14.7865	11.6521	8.5025	5.9237
Phel_clc_contig_15446	17.0345	82.8138	11.0899	5.8261	7.0854	1.9746
Phel_clc_contig_2588	1127.5547	3878.4456	616.1042	690.3879	313.175	236.9469
Phel_clc_contig_6884	366.2423	1249.1079	138.0074	46.6085	19.8391	37.5166
Phel_clc_contig_17485	24.2414	68.5096	16.0187	11.6521	2.8342	3.9491
Phel_clc_contig_5797	807.8297	2059.1772	444.8273	369.9547	284.8334	120.448
Phel_clc_contig_6569	144.1383	327.2399	38.1985	52.4345	14.1708	17.771
Phel_clc_contig_7201	256.8282	583.0844	51.7528	34.9563	80.7736	27.6438
Phel_clc_contig_14757	225.3799	308.6696	93.6479	66.9997	77.9395	31.5929
Phel_clc_contig_23008	38.6553	52.5742	8.6255	8.7391	0	1.9746
Phel_clc_contig_4501	349.2078	524.8637	65.3071	55.3476	46.7637	77.0078
Phel_clc_contig_21534	59.6208	102.6389	18.4831	8.7391	14.1708	15.7965
Phel_clc_contig_22269	18.3449	35.3841	3.6966	0	0	0
Phel_clc_contig_3210	560.829	1023.5031	264.9248	148.5645	162.9644	161.9137
Phel_clc_contig_19570	27.5173	51.0685	13.5543	0	4.2512	5.9237
Phel_clc_contig_7186	51.1036	88.8366	30.8052	8.7391	11.3367	17.771
Phel_clc_contig_1157	185.4143	207.5364	226.7264	61.1736	52.432	110.5752
Phel_clc_contig_18553	80.5864	90.2168	113.3632	23.3042	32.5929	47.3894
Phel_clc_contig_18875	38.0001	44.1674	60.3782	0	4.2512	15.7965
Phel_clc_contig_15637	64.2071	66.0001	66.5393	14.5651	17.005	29.6184
Phel_clc_contig_16885	117.9313	127.3576	121.9886	37.8694	38.2612	53.3131
Phel_clc_contig_10111	113.3451	101.886	126.9175	61.1736	31.1758	43.4403
Phel_clc_contig_12343	598.8292	642.1832	809.561	241.7814	79.3566	205.354
Phel_clc_contig_13361	68.7933	70.7681	88.719	23.3042	2.8342	9.8728
Phel_clc_contig_11435	123.8279	92.6009	115.8276	40.7824	9.9196	33.5675
Phel_clc_contig_12112	314.4836	229.1181	287.1046	116.5212	58.1003	59.2367
Phel_clc_contig_1717	68.1381	61.7339	66.5393	34.9563	17.005	27.6438
Phel_clc_contig_2244	95.6554	92.2244	97.3445	49.5215	24.0904	33.5675
Phel_clc_contig_3233	5621.394	4858.1577	4890.6357	2015.8162	1088.3185	1267.6661
Phel_clc_contig_1376	1367.3484	1320.8799	1333.2496	445.6935	311.7579	363.3186
Phel_clc_contig_5609	327.5871	321.3426	335.1607	101.956	69.437	96.7533
Phel_clc_contig_1719	254.8627	258.103	263.6926	90.3039	35.427	33.5675
Phel_clc_contig_5866	3218.2153	3102.0037	3557.386	1028.2993	562.5813	537.0797
Phel_clc_contig_13129	116.621	94.8594	120.7564	40.7824	60.9345	45.4148
Phel_clc_contig_14850	313.1732	194.236	324.0708	49.5215	92.1103	43.4403
Phel_clc_contig_25210	74.6898	36.5134	72.7003	2.913	14.1708	3.9491
Phel_clc_contig_14132	337.4147	308.9205	373.3592	177.6948	171.4669	128.3463
Phel_clc_contig_20614	68.7933	70.0153	102.2733	2.913	21.2562	3.9491
Phel_clc_contig_89	3509.1125	3308.5361	3903.6365	1823.5563	2248.9082	1935.0667
Phel_clc_contig_7895	179.5177	181.8139	219.3331	26.2173	69.437	11.8473
Phel_clc_contig_10160	239.7937	206.4071	259.996	99.043	51.0149	120.448
Phel_clc_contig_10792	45.207	41.7833	48.0561	11.6521	4.2512	15.7965
