"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Phel_clc_contig_10001" 136.224412089297 1.49122132534922 0.552140700838266 2.70079949383414 0.00691730263325548 0.0396968314862454
"Phel_clc_contig_10010" 8.7342056518699 2.43611561283213 0.720743067956206 3.38000560968303 0.000724843503667102 0.00689571954146851
"Phel_clc_contig_10013" 189.785994443343 -1.96397709928293 0.46516444174604 -4.22211356463738 2.42022107708241e-05 0.00042719746669455
"Phel_clc_contig_10045" 50.2388038133868 2.87356094231904 0.696261181310934 4.12713076565413 3.67317542729269e-05 0.000600955586301329
"Phel_clc_contig_1005" 3425.16142786886 -1.67347306705222 0.384795807377989 -4.3489898667434 1.36766030857732e-05 0.000265402080992255
"Phel_clc_contig_10050" 281.308679616738 -1.56205047845817 0.341706247566006 -4.57132548668558 4.84648810636345e-06 0.000109571410715389
"Phel_clc_contig_1006" 78.3048539525125 -2.02354660092146 0.470808141848501 -4.2980280523114 1.72324357947805e-05 0.000323328011984789
"Phel_clc_contig_10064" 146.509765995238 1.79890176248274 0.683055196264448 2.63361112296742 0.00844821857791773 0.0462050534853862
"Phel_clc_contig_10065" 28.4083629912895 2.27475246492874 0.584177918669727 3.89393777517087 9.86299597407327e-05 0.00136531485881524
"Phel_clc_contig_10074" 13.701765789507 1.58687823144134 0.607688011930876 2.6113370681761 0.00901889523037194 0.0484413137463186
"Phel_clc_contig_10088" 26.9096014065836 -3.28880683932414 0.693296211073094 -4.74372539009506 2.09823244157254e-06 5.37588698172093e-05
"Phel_clc_contig_10092" 299.826637976748 -1.70462815308719 0.391660626004655 -4.35230921850931 1.34711081835059e-05 0.000261964399103205
"Phel_clc_contig_10095" 25.9815160428041 -2.51526779625353 0.623333930865638 -4.03518510978621 5.45592663073607e-05 0.000838923773492051
"Phel_clc_contig_10096" 133.134858412466 1.79632009229973 0.605736493650221 2.96551406614938 0.00302177526507698 0.0209420588155778
"Phel_clc_contig_10098" 94.889075005979 -1.12437301666821 0.411799641343446 -2.73038852826603 0.00632597226498007 0.0370956146417046
"Phel_clc_contig_10104" 564.435027793299 -1.94096484084493 0.508128768674481 -3.81982867434997 0.000133544400837805 0.00176026638538284
"Phel_clc_contig_10108" 124.416963635947 1.423710810456 0.544168900007681 2.61630315594277 0.00888875995482035 0.0479265837749228
"Phel_clc_contig_10111" 79.888449006555 -1.28082790486353 0.411272749121749 -3.11430287467056 0.00184380114972962 0.014327914162415
"Phel_clc_contig_10112" 15.2227247194255 -1.80877976822133 0.674726900776557 -2.68075834258212 0.00734555406657143 0.0415963583159157
"Phel_clc_contig_10123" 20.543708195679 -2.15791702460041 0.641063267905553 -3.36615297215615 0.000762244247713852 0.00716956321172205
"Phel_clc_contig_10131" 231.736116465646 -1.53764608953939 0.584141879515662 -2.63231612637383 0.00848049134277196 0.0463373218770556
"Phel_clc_contig_10136" 49.0343555401358 1.38792526904676 0.447389358686834 3.10227599762444 0.00192038823147601 0.0147643054127932
"Phel_clc_contig_10138" 1183.17734641357 -1.35451938380259 0.46700581396667 -2.90043366333606 0.00372646705585842 0.0244825381055425
"Phel_clc_contig_1014" 79.7722706317807 2.32616914182763 0.683514599280108 3.40324719366287 0.000665900050307023 0.0064313056471588
"Phel_clc_contig_10147" 196.905721355388 -1.17460783287421 0.424161763927641 -2.76924497389299 0.00561863716433301 0.0338474842454991
"Phel_clc_contig_10155" 119.980625844103 1.45694904611019 0.4587407040779 3.17597508387392 0.00149333776858809 0.0121307647108795
"Phel_clc_contig_10156" 243.798360832583 -1.65812732610709 0.436021529590784 -3.80285654165583 0.000143037192826629 0.00185850805161841
"Phel_clc_contig_10157" 457.965880020653 -2.09283917157413 0.426167293016227 -4.91083948925767 9.06873003387509e-07 2.60359512397197e-05
"Phel_clc_contig_10159" 333.229684171214 -1.67797886742437 0.362882783409759 -4.62402446227279 3.76365451638483e-06 8.79360884664362e-05
"Phel_clc_contig_10160" 163.35831656403 -1.30353618735613 0.426600843630197 -3.05563434020331 0.0022458496697032 0.0166791344357334
"Phel_clc_contig_10161" 47.7332349044404 -2.17104494986411 0.684988685297577 -3.16946103850015 0.00152721932067372 0.0123549969817339
"Phel_clc_contig_10165" 435.071834734386 3.0550802948506 0.50021135131881 6.10757889999071 1.01153811002111e-09 6.19877652333989e-08
"Phel_clc_contig_10172" 49.6474630690602 -2.28195702087974 0.543378312302127 -4.19957324246487 2.67418519401319e-05 0.000464337806927327
"Phel_clc_contig_10178" 712.298216273985 -2.43883842958682 0.485102179363604 -5.02747366088167 4.96983722332635e-07 1.55227792140795e-05
"Phel_clc_contig_1019" 1731.73412320662 1.60506614571804 0.429953001031933 3.73311999652453 0.000189122437182298 0.00233842362151422
"Phel_clc_contig_10198" 95.4883304727112 1.73359762490696 0.444942627696232 3.89622732684203 9.77026902067599e-05 0.00135516411737477
"Phel_clc_contig_10208" 26.8479420932029 3.45463459314164 0.696964879577689 4.95668389379233 7.17064976324655e-07 2.11960757128193e-05
"Phel_clc_contig_1021" 738.986274969809 2.7768380787545 0.51112526935731 5.43279357376735 5.54785740424535e-08 2.21893121141554e-06
"Phel_clc_contig_10211" 73.6509106427947 -1.03168179000701 0.395447363802806 -2.60889788235247 0.00908343444738599 0.0487255232015141
"Phel_clc_contig_10213" 31.0851611880067 -1.45173476798384 0.507320841295322 -2.86157131703318 0.00421546651420737 0.0269928955712674
"Phel_clc_contig_10214" 272.205171173867 -1.79832410538011 0.369894386020478 -4.86172316570535 1.16368289792083e-06 3.25179548994996e-05
"Phel_clc_contig_10224" 17.2754195021612 2.64225838944524 0.678850510570885 3.89225366748743 9.93173207146469e-05 0.00137036321201689
"Phel_clc_contig_1023" 175.433198906664 -1.07831874335457 0.346668091764649 -3.11052204968041 0.00186756951890003 0.0144590033162567
"Phel_clc_contig_10235" 238.896644436903 -1.73606261810993 0.422362376701039 -4.11036283977247 3.95037879034199e-05 0.00064030965729302
"Phel_clc_contig_10244" 44.5932150538672 2.51240222785616 0.646382795862107 3.88686432241017 0.000101547473970823 0.00139556194064295
"Phel_clc_contig_10247" 86.1689630634476 1.50205554185971 0.488103338967775 3.07733101157679 0.00208863226389064 0.0157669451745222
"Phel_clc_contig_10256" 29.0294133855627 -1.93519983507112 0.697592842895468 -2.77411079368127 0.00553528233220775 0.033451109319034
"Phel_clc_contig_10261" 66.0462153459919 2.2371808838641 0.665158892230596 3.36337814918442 0.000769948177417237 0.0072199435804521
"Phel_clc_contig_10262" 73.6835986039648 1.82273385599944 0.514277499750246 3.54426133144972 0.00039371478668778 0.0041970877413034
"Phel_clc_contig_10263" 177.203163603303 1.21659609036793 0.409903210358381 2.96800820199542 0.00299736332280117 0.0208354031573025
"Phel_clc_contig_10267" 137.504608895085 2.24751424535939 0.618236524339293 3.63536309628632 0.000277589380672609 0.00317108344959108
"Phel_clc_contig_1027" 4012.26001947621 1.50491611624977 0.366501842184424 4.10616248824337 4.02286547937003e-05 0.000646558395066235
"Phel_clc_contig_10278" 68.3956996644726 -1.20058158374446 0.416764911718634 -2.88071656223065 0.00396772270647055 0.025728815743258
"Phel_clc_contig_10279" 62.545237178926 2.03903087144372 0.671317304063776 3.03735783228077 0.00238661954844383 0.0175013199777067
"Phel_clc_contig_10294" 72.7109063630511 -1.40850034265874 0.533573141164306 -2.63975120558967 0.00829669099200272 0.0454950418132897
"Phel_clc_contig_10295" 261.125131897763 1.4732918276295 0.515439966141864 2.85831895934901 0.00425892056900856 0.0272461713325035
"Phel_clc_contig_10304" 15.5827983263333 2.41068399378935 0.632063999504696 3.81398718433328 0.000136742562140723 0.00179385925636221
"Phel_clc_contig_1031" 13970.3368078666 -2.27802942763592 0.522138775807439 -4.3628811595407 1.28360678728825e-05 0.000252362392570236
